2010298S09087,2011,01, SI, MM,ONE,2010-10-25 00:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 06:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 12:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 18:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-26 00:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-26 06:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-26 12:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-26 18:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-27 00:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-27 06:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-27 12:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-27 18:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-28 00:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-28 06:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-28 12:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-28 18:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-29 00:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-29 06:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-29 12:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-29 18:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-30 00:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-30 06:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-30 12:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-30 18:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-31 00:00:00, NR,-999.,-999.,-999.,-999.
