2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 00:00:00, NR, -5.50,  98.40, 15.0, 1006.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 06:00:00, NR, -7.00,  98.10, 15.0, 1006.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 12:00:00, NR, -7.40,  97.70, 15.0, 1006.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 18:00:00, NR, -7.70,  97.40, 20.0, 1005.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-03 00:00:00, NR, -8.20,  97.00, 20.0, 1004.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-03 06:00:00, NR, -8.90,  96.30, 20.0, 1004.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-03 12:00:00, NR, -9.70,  95.30, 20.0, 1004.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-03 18:00:00, NR,-10.50,  93.70, 20.0, 1004.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-04 00:00:00, NR,-11.20,  92.30, 25.0, 1002.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-04 06:00:00, NR,-11.70,  91.00, 27.0, 1001.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-04 12:00:00, TS,-12.10,  89.90, 27.0, 1001.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-04 18:00:00, TS,-12.10,  88.90, 33.0,  999.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-05 00:00:00, TS,-12.20,  88.10, 40.0,  997.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-05 06:00:00, TS,-12.20,  87.70, 42.0,  996.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-05 12:00:00, TS,-12.20,  87.60, 42.0,  995.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-05 18:00:00, TS,-12.40,  87.60, 45.0,  994.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-06 00:00:00, TS,-12.70,  87.70, 40.0,  995.0
2011336S06098,2012,01, SI, MM,ALENGA,2011-12-06 06:00:00, TS,-13.10,  87.60, 37.0,  996.0
