2012285S04077,2013,01, SI, MM,ANAIS,2012-10-10 12:00:00, TS, -3.60,  76.80,  0.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-10 18:00:00, TS, -4.90,  76.60,  0.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 00:00:00, TS, -5.90,  76.10, 20.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 06:00:00, TS, -6.50,  75.10, 20.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 12:00:00, TS, -6.60,  74.00, 20.0, 1006.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 18:00:00, TS, -6.60,  73.10, 25.0, 1004.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-12 00:00:00, TS, -6.80,  72.40, 25.0, 1003.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-12 06:00:00, TS, -7.30,  71.80, 27.0, 1002.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-12 12:00:00, TS, -8.00,  71.20, 30.0,  999.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-12 18:00:00, TS, -8.50,  70.70, 35.0,  995.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-13 00:00:00, TS, -9.00,  70.10, 40.0,  991.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-13 06:00:00, TS, -9.60,  69.10, 45.0,  988.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-13 12:00:00, TS,-10.00,  68.40, 57.0,  982.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-13 18:00:00, TS,-10.40,  67.50, 68.0,  976.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-14 00:00:00, TS,-10.70,  66.90, 70.0,  973.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-14 06:00:00, TS,-10.90,  66.20, 80.0,  960.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-14 12:00:00, TS,-11.40,  65.80,100.0,  945.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-14 18:00:00, TS,-12.00,  65.30, 85.0,  960.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-15 00:00:00, TS,-12.30,  64.90, 95.0,  955.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-15 06:00:00, TS,-12.90,  64.30, 90.0,  958.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-15 12:00:00, TS,-13.10,  63.60, 82.0,  965.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-15 18:00:00, TS,-13.30,  62.90, 68.0,  975.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-16 00:00:00, TS,-13.60,  62.00, 57.0,  982.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-16 06:00:00, TS,-13.90,  61.10, 50.0,  987.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-16 12:00:00, TS,-14.10,  60.30, 47.0,  990.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-16 18:00:00, TS,-14.50,  59.30, 43.0,  994.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-17 00:00:00, TS,-14.90,  58.40, 40.0,  996.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-17 06:00:00, TS,-15.30,  57.60, 35.0,  998.0
