2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 00:00:00, TS, -7.40,  78.50, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 06:00:00, TS, -7.90,  77.90, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 12:00:00, TS, -8.10,  77.20, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 18:00:00, TS, -8.20,  76.10, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-24 00:00:00, TS, -8.30,  74.70, 23.0, 1005.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-24 06:00:00, TS, -8.40,  73.50, 23.0, 1005.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-24 12:00:00, TS, -8.60,  72.50, 23.0, 1005.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-24 18:00:00, TS, -8.70,  71.50, 23.0, 1005.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-25 00:00:00, TS, -8.80,  70.60, 25.0, 1004.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-25 06:00:00, TS, -8.80,  69.90, 25.0, 1004.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-25 12:00:00, TS, -8.90,  69.10, 27.0, 1002.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-25 18:00:00, TS, -9.10,  68.40, 30.0, 1000.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-26 00:00:00, TS,-10.00,  68.10, 30.0, 1000.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-26 06:00:00, TS,-10.80,  67.90, 30.0, 1000.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-26 12:00:00, TS,-11.50,  67.20, 33.0,  998.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-26 18:00:00, TS,-11.80,  66.00, 35.0,  997.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-27 00:00:00, TS,-12.30,  65.20, 32.0,  999.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-27 06:00:00, TS,-12.70,  64.50, 30.0, 1001.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-27 12:00:00, TS,-12.90,  63.70, 27.0, 1003.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-27 18:00:00, TS,-12.90,  63.00, 25.0, 1005.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-28 00:00:00, TS,-13.10,  62.50, 23.0, 1007.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-28 06:00:00, TS,-13.50,  62.10, 23.0, 1009.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-28 12:00:00, TS,-14.20,  61.50, 23.0, 1009.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-28 18:00:00, TS,-14.60,  60.20, 23.0, 1009.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-29 00:00:00, TS,-14.50,  58.60, 20.0, 1010.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-29 06:00:00, TS,-14.10,  57.00, 20.0, 1010.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-29 12:00:00, TS,-13.50,  55.50, 20.0, 1010.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-29 18:00:00, NR,-999.,-999.,-999.,-999.
2013324S11113,2014,02, SI, WA,ALESSIA,2013-11-19 22:17:00, NR,-10.50, 113.20, -1.0,   -1.0
2013324S11113,2014,02, SI, WA,ALESSIA,2013-11-20 00:00:00, NR,-10.69, 113.38, 20.0, 1004.0
2013324S11113,2014,02, SI, WA,ALESSIA,2013-11-20 06:00:00, NR,-11.30, 114.00, 20.0, 1004.0
2013324S11113,2014,02, SI, WA,ALESSIA,2013-11-20 10:52:00, NR,-11.60, 114.50, -1.0,   -1.0
2013324S11113,2014,02, SI, WA,ALESSIA,2013-11-20 12:00:00, NR,-11.66, 114.64, 20.0, 1004.0
