"","paperName","researcher","journal","citation","year"
"1","How much should we trust differences-in-differences estimates?","M Bertrand, E Duflo, S Mullainathan","The Quarterly journal of economics 119 (1), 249-275, 2004","8865","2004"
"2","Poor economics: A radical rethinking of the way to fight global poverty","AV Banerjee, A Banerjee, E Duflo","Public Affairs, 2011","2911","2011"
"3","Schooling and labor market consequences of school construction in Indonesia: Evidence from an unusual policy experiment","E Duflo","American economic review 91 (4), 795-813, 2001","1935","2001"
"4","The miracle of microfinance? Evidence from a randomized evaluation","A Banerjee, E Duflo, R Glennerster, C Kinnan","American Economic Journal: Applied Economics 7 (1), 22-53, 2015","1879","2015"
"5","Grandmothers and granddaughters: old‐age pensions and intrahousehold allocation in South Africa","E Duflo","The World Bank Economic Review 17 (1), 1-25, 2003","1830","2003"
"6","The economic lives of the poor","AV Banerjee, E Duflo","Journal of economic perspectives 21 (1), 141-168, 2007","1800","2007"
"7","Women as policy makers: Evidence from a randomized policy experiment in India","R Chattopadhyay, E Duflo","Econometrica 72 (5), 1409-1443, 2004","1703","2004"
"8","Women empowerment and economic development","E Duflo","Journal of Economic literature 50 (4), 1051-79, 2012","1519","2012"
"9","Using randomization in development economics research: A toolkit","E Duflo, R Glennerster, M Kremer","Handbook of development economics 4, 3895-3962, 2007","1470","2007"
"10","Inequality and growth: What can the data say?","AV Banerjee, E Duflo","Journal of economic growth 8 (3), 267-299, 2003","1399","2003"
"11","The role of information and social interactions in retirement plan decisions: Evidence from a randomized experiment","E Duflo, E Saez","The Quarterly journal of economics 118 (3), 815-842, 2003","1368","2003"
"12","Remedying education: Evidence from two randomized experiments in India","AV Banerjee, S Cole, E Duflo, L Linden","The Quarterly Journal of Economics 122 (3), 1235-1264, 2007","1297","2007"
"13","Growth theory through the lens of development economics","AV Banerjee, E Duflo","Handbook of economic growth 1, 473-552, 2005","1158","2005"
"14","Nudging farmers to use fertilizer: Theory and experimental evidence from Kenya","E Duflo, M Kremer, J Robinson","American economic review 101 (6), 2350-90, 2011","1008","2011"
"15","Railroads of the Raj: Estimating the impact of transportation infrastructure","D Donaldson","American Economic Review 108 (4-5), 899-934, 2018","975","2018"
"16","The diffusion of microfinance","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","Science 341 (6144), 1236498, 2013","884","2013"
"17","Peer effects, teacher incentives, and the impact of tracking: Evidence from a randomized evaluation in Kenya","E Duflo, P Dupas, M Kremer","American Economic Review 101 (5), 1739-74, 2011","837","2011"
"18","Powerful women: does exposure reduce bias?","L Beaman, R Chattopadhyay, E Duflo, R Pande, P Topalova","The Quarterly journal of economics 124 (4), 1497-1540, 2009","820","2009"
"19","What is middle class about the middle classes around the world?","AV Banerjee, E Duflo","Journal of economic perspectives 22 (2), 3-28, 2008","740","2008"
"20","Do firms want to borrow more? Testing credit constraints using a directed lending program","AV Banerjee, E Duflo","Review of Economic Studies 81 (2), 572-607, 2014","719","2014"
"21","Participation and investment decisions in a retirement plan: The influence of colleagues’ choices","E Duflo, E Saez","Journal of public Economics 85 (1), 121-148, 2002","711","2002"
"22","Intrahousehold resource allocation in Cote d'Ivoire: Social norms, separate accounts and consumption choices","E Duflo, C Udry","National Bureau of Economic Research, 2004","694","2004"
"23","Reputation effects and the limits of contracting: A study of the Indian software industry","AV Banerjee, E Duflo","The Quarterly Journal of Economics 115 (3), 989-1017, 2000","683","2000"
"24","Female leadership raises aspirations and educational attainment for girls: A policy experiment in India","L Beaman, E Duflo, R Pande, P Topalova","science 335 (6068), 582-586, 2012","642","2012"
"25","Incentives work: Getting teachers to come to school","E Duflo, R Hanna, SP Ryan","American Economic Review 102 (4), 1241-78, 2012","638","2012"
"26","On the road: Access to transportation infrastructure and economic growth in China","A Banerjee, E Duflo, N Qian","National Bureau of Economic Research, 2012","589","2012"
"27","The experimental approach to development economics","AV Banerjee, E Duflo","Annu. Rev. Econ. 1 (1), 151-178, 2009","552","2009"
"28","Dams","E Duflo, R Pande","The Quarterly Journal of Economics 122 (2), 601-646, 2007","549","2007"
"29","How high are rates of return to fertilizer? Evidence from field experiments in Kenya","E Duflo, M Kremer, J Robinson","American economic review 98 (2), 482-88, 2008","530","2008"
"30","Pitfalls of participatory programs: Evidence from a randomized evaluation in education in India","AV Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","American Economic Journal: Economic Policy 2 (1), 1-30, 2010","526","2010"
"31","A multifaceted program causes lasting progress for the very poor: Evidence from six countries","A Banerjee, E Duflo, N Goldberg, D Karlan, R Osei, W Parienté, J Shapiro, ...","Science 348 (6236), 1260799, 2015","505","2015"
"32","Use of randomization in the evaluation of development effectiveness","E Duflo, M Kremer","Evaluating development effectiveness 7, 205-231, 2005","502","2005"
"33","Child health and household resources in South Africa: evidence from the old age pension program","E Duflo","American Economic Review 90 (2), 393-398, 2000","457","2000"
"34","Do labor market policies have displacement effects? Evidence from a clustered randomized experiment","B Crépon, E Duflo, M Gurgand, R Rathelot, P Zamora","The quarterly journal of economics 128 (2), 531-580, 2013","434","2013"
"35","The impact of education on fertility and child mortality: Do fathers really matter less than mothers?","L Breierova, E Duflo","National bureau of economic research, 2004","412","2004"
"36","Addressing absence","A Banerjee, E Duflo","Journal of Economic perspectives 20 (1), 117-132, 2006","388","2006"
"37","Monitoring works: Getting teachers to come to school","E Duflo, R Hanna","National Bureau of Economic Research, 2005","381","2005"
"38","Saving incentives for low-and middle-income families: Evidence from a field experiment with H&R Block","E Duflo, W Gale, J Liebman, P Orszag, E Saez","The Quarterly Journal of Economics 121 (4), 1311-1346, 2006","378","2006"
"39","Improving immunisation coverage in rural India: clustered randomised controlled evaluation of immunisation campaigns with and without incentives","AV Banerjee, E Duflo, R Glennerster, D Kothari","Bmj 340, c2220, 2010","363","2010"
"40","Happiness on tap: Piped water adoption in urban Morocco","F Devoto, E Duflo, P Dupas, W Parienté, V Pons","American Economic Journal: Economic Policy 4 (4), 68-99, 2012","356","2012"
"41","Wealth, health, and health services in rural Rajasthan","A Banerjee, A Deaton, E Duflo","American Economic Review 94 (2), 326-330, 2004","340","2004"
"42","Estimating the impact of microcredit on those who take it up: Evidence from a randomized experiment in Morocco","B Crépon, F Devoto, E Duflo, W Parienté","American Economic Journal: Applied Economics 7 (1), 123-50, 2015","319","2015"
"43","Education, HIV, and early fertility: Experimental evidence from Kenya","E Duflo, P Dupas, M Kremer","American Economic Review 105 (9), 2757-97, 2015","309","2015"
"44","School governance, teacher incentives, and pupil–teacher ratios: Experimental evidence from Kenyan primary schools","E Duflo, P Dupas, M Kremer","Journal of Public Economics 123, 92-110, 2015","304","2015"
"45","Up in smoke: the influence of household behavior on the long-run impact of improved cooking stoves","R Hanna, E Duflo, M Greenstone","American Economic Journal: Economic Policy 8 (1), 80-114, 2016","302","2016"
"46","Field experiments on discrimination","M Bertrand, E Duflo","Handbook of economic field experiments 1, 309-393, 2017","283","2017"
"47","Turning a shove into a nudge? A"" labeled cash transfer"" for education","N Benhassine, F Devoto, E Duflo, P Dupas, V Pouliquen","American Economic Journal: Economic Policy 7 (3), 86-125, 2015","278","2015"
"48","Impact of microcredit in rural areas of Morocco: Evidence from a Randomized Evaluation","B Crépon, F Devoto, E Duflo, W Parienté","MIT Working paper, 2011","268","2011"
"49","Putting a band-aid on a corpse: incentives for nurses in the Indian public health care system","AV Banerjee, E Duflo, R Glennerster","Journal of the European Economic Association 6 (2-3), 487-500, 2008","265","2008"
